Code;Ranking;Economy;GDP2014
USA;1;United States;17419000
CHN;2;China;10360105
JPN;3;Japan;4601461
DEU;4;Germany;3852556
GBR;5;United Kingdom;2941886
FRA;6;France;2829192
BRA;7;Brazil;2346118
ITA;8;Italy;2144338
IND;9;India;2066902
RUS;10;Russian Federation;1860598
CAN;11;Canada;1786655
AUS;12;Australia;1453770
KOR;13;Korea Rep;1410383
ESP;14;Spain;1404307
MEX;15;Mexico;1282720
IDN;16;Indonesia;888538
NLD;17;Netherlands;869508
TUR;18;Turkey;799535
SAU;19;Saudi Arabia;746249
CHE;20;Switzerland;685434
SWE;21;Sweden;570591
NGA;22;Nigeria;568508
POL;23;Poland;548003
ARG;24;Argentina;540197
BEL;25;Belgium;533383
VEN;26;Venezuela RB;509964
NOR;27;Norway;500103
AUT;28;Austria;436344
IRN;29;Iran Islamic Rep;415339
ARE;30;United Arab Emirates;401647
COL;31;Colombia;377740
THA;32;Thailand;373804
ZAF;33;South Africa;349817
DNK;34;Denmark;341952
MYS;35;Malaysia;326933
SGP;36;Singapore;307872
ISR;37;Israel;304226
HKG;38;Hong Kong SAR China;290896
EGY;39;Egypt Arab Rep;286538
PHL;40;Philippines;284582
FIN;41;Finland;270674
CHL;42;Chile;258062
PAK;43;Pakistan;246876
IRL;44;Ireland;245921
GRC;45;Greece;237592
PRT;46;Portugal;229584
IRQ;47;Iraq;220506
DZA;48;Algeria;214063
KAZ;49;Kazakhstan;212248
QAT;50;Qatar;211817
CZE;51;Czech Republic;205523
PER;52;Peru;202903
ROM;53;Romania;199044
NZL;54;New Zealand;188385
VNM;55;Vietnam;186205
KWT;56;Kuwait;175827
BGD;57;Bangladesh;173819
HUN;58;Hungary;137104
UKR;59;Ukraine;131805
AGO;60;Angola;131401
MAR;61;Morocco;107005
PRI;62;Puerto Rico;103135
ECU;63;Ecuador;100543
SVK;64;Slovak Republic;99790
OMN;65;Oman;81797
CUB;66;Cuba;77150
BLR;67;Belarus;76139
AZE;68;Azerbaijan;75198
LKA;69;Sri Lanka;74941
SDN;70;Sudan;73815
MMR;71;Myanmar;64330
DOM;72;Dominican Republic;63969
UZB;73;Uzbekistan;62644
KEN;74;Kenya;60937
LUX;75;Luxembourg;60131
GTM;76;Guatemala;58728
URY;77;Uruguay;57471
HRV;78;Croatia;57223
BGR;79;Bulgaria;55735
MAC;80;Macao SAR China;55502
ETH;81;Ethiopia;54798
CRI;82;Costa Rica;49553
SVN;83;Slovenia;49416
TZA;84;Tanzania;49184
LTU;85;Lithuania;48172
TKM;86;Turkmenistan;47932
TUN;87;Tunisia;46995
PAN;88;Panama;46213
LBN;89;Lebanon;45731
SRB;90;Serbia;43866
LBY;91;Libya;41119
GHA;92;Ghana;38648
YEM;93;Yemen Rep;35955
JOR;94;Jordan;35827
CIV;95;Côte d'Ivoire;34254
BOL;96;Bolivia;34176
BHR;97;Bahrain;33869
ZAR;98;Congo Dem Rep;32962
CMR;99;Cameroon;32549
LVA;100;Latvia;31921
PRY;101;Paraguay;30985
ZMB;102;Zambia;27066
UGA;103;Uganda;26312
EST;104;Estonia;25905
SLV;105;El Salvador;25220
TTO;106;Trinidad and Tobago;24434
CYP;107;Cyprus;23226
AFG;108;Afghanistan;20842
NPL;109;Nepal;19636
HND;110;Honduras;19385
BIH;111;Bosnia and Herzegovina;18344
BRN;112;Brunei Darussalam;17257
GAB;113;Gabon;17228
ISL;114;Iceland;17071
KHM;115;Cambodia;16709
GEO;116;Georgia;16530
MOZ;117;Mozambique;16386
BWA;118;Botswana;15813
SEN;119;Senegal;15579
PNG;120;Papua New Guinea;15413
JAM;121;Jamaica;14362
GNQ;122;Equatorial Guinea;14308
COG;123;Congo Rep;14135
TCD;124;Chad;13922
ZWE;125;Zimbabwe;13663
NAM;126;Namibia;13430
ALB;127;Albania;13370
SSD;128;South Sudan;13070
WBG;129;West Bank and Gaza;12738
MUS;130;Mauritius;12616
BFA;131;Burkina Faso;12543
MLI;132;Mali;12074
MNG;133;Mongolia;12016
NIC;134;Nicaragua;11806
LAO;135;Lao PDR;11772
MKD;136;Macedonia FYR;11324
ARM;137;Armenia;10882
MDG;138;Madagascar;10593
MLT;139;Malta;9643
TJK;140;Tajikistan;9242
BEN;141;Benin;8747
HTI;142;Haiti;8713
BHS;143;Bahamas The;8511
NER;144;Niger;8169
MDA;145;Moldova;7944
RWA;146;Rwanda;7890
KGZ;147;Kyrgyz Republic;7404
KSV;148;Kosovo;7274
GIN;149;Guinea;6624
BMU;150;Bermuda;5574
LIE;151;Liechtenstein;5488
SUR;152;Suriname;5299
MRT;153;Mauritania;5061
SLE;154;Sierra Leone;4892
MNE;155;Montenegro;4583
TGO;156;Togo;4518
BRB;157;Barbados;4348
MWI;158;Malawi;4258
FJI;159;Fiji;4030
ERI;160;Eritrea;3858
SWZ;161;Swaziland;3400
ADO;162;Andorra;3249
GUY;163;Guyana;3228
BDI;164;Burundi;3094
MDV;165;Maldives;3032
FRO;166;Faeroe Islands;2613
LSO;167;Lesotho;2088
LBR;168;Liberia;2027
CPV;169;Cabo Verde;1871
BTN;170;Bhutan;1821
CAF;171;Central African Republic;1783
BLZ;172;Belize;1624
DJI;173;Djibouti;1582
TMP;174;Timor-Leste;1552
SYC;175;Seychelles;1406
LCA;176;St Lucia;1365
ATG;177;Antigua and Barbuda;1269
SLB;178;Solomon Islands;1158
GNB;179;Guinea-Bissau;1022
GRD;180;Grenada;882
KNA;181;St Kitts and Nevis;833
GMB;182;Gambia The;807
VUT;183;Vanuatu;802
WSM;184;Samoa;801
VCT;185;St Vincent and the Grenadines;729
COM;186;Comoros;648
DMA;187;Dominica;538
TON;188;Tonga;434
STP;189;São Tomé and Principe;335
FSM;190;Micronesia Fed Sts;316
PLW;191;Palau;251
MHL;192;Marshall Islands;191
KIR;193;Kiribati;167
TUV;194;Tuvalu;38 
